Distancia_Bala,Velocidad_Bala,Distancia_Bala2,Salto,Izquierda
618,-23,25,0,1
585,-23,43,0,1
552,-23,61,0,1
519,-23,79,0,1
486,-23,97,0,1
453,-23,115,0,1
420,-23,605,0,0
387,-23,587,0,0
354,-23,569,0,0
321,-23,551,0,0
288,-23,533,0,0
255,-23,515,0,0
222,-23,497,0,0
199,-23,459,1,0
176,-23,424,1,0
153,-23,391,1,0
130,-23,361,1,0
107,-23,333,1,0
84,-23,308,1,0
61,-23,285,1,0
38,-23,265,1,0
15,-23,247,1,0
8,-23,232,1,0
31,-23,219,1,0
54,-23,209,1,0
77,-23,201,1,0
1280,-23,196,0,0
1258,-22,193,0,0
1236,-22,193,0,0
1214,-22,191,0,0
1192,-22,173,0,0
1180,-22,155,0,1
1168,-22,137,0,1
1156,-22,119,0,1
1144,-22,101,0,1
1132,-22,83,0,1
1120,-22,65,0,1
1108,-22,47,0,1
1096,-22,29,0,1
1084,-22,11,0,1
1072,-22,7,0,1
1060,-22,25,0,1
1048,-22,43,0,1
1016,-22,61,0,1
984,-22,79,0,1
952,-22,97,0,1
920,-22,115,0,1
888,-22,605,0,0
856,-22,587,0,0
824,-22,569,0,0
792,-22,551,0,0
760,-22,533,0,0
728,-22,515,0,0
696,-22,497,0,0
664,-22,479,0,0
642,-22,461,0,0
620,-22,443,0,0
598,-22,425,0,0
576,-22,407,0,0
554,-22,389,0,0
532,-22,371,0,0
510,-22,353,0,0
488,-22,335,0,0
466,-22,317,0,0
444,-22,299,0,0
422,-22,281,0,0
400,-22,263,0,0
378,-22,245,0,0
366,-22,227,0,1
354,-22,209,0,1
342,-22,191,0,1
330,-22,173,0,1
318,-22,155,0,1
306,-22,137,0,1
294,-22,119,0,1
282,-22,101,0,1
270,-22,83,0,1
258,-22,65,0,1
246,-22,27,1,1
234,-22,8,1,1
207,-22,41,1,1
180,-22,71,1,1
153,-22,99,1,1
126,-22,124,1,1
99,-22,147,1,1
72,-22,167,1,1
45,-22,185,1,1
18,-22,200,1,1
9,-22,525,1,0
1350,-22,515,0,0
1321,-24,507,0,0
1292,-24,502,0,0
1263,-24,499,0,0
1234,-24,499,0,0
1200,-24,497,0,0
1166,-24,479,0,0
1132,-24,461,0,0
1098,-24,443,0,0
1064,-24,425,0,0
1040,-24,407,0,0
1016,-24,389,0,0
992,-24,371,0,0
968,-24,353,0,0
944,-24,335,0,0
920,-24,317,0,0
896,-24,299,0,0
872,-24,281,0,0
848,-24,263,0,0
824,-24,245,0,0
800,-24,227,0,0
776,-24,209,0,0
762,-24,191,0,1
748,-24,173,0,1
734,-24,155,0,1
720,-24,137,0,1
706,-24,119,0,1
692,-24,101,0,1
