Distancia_Bala,Velocidad_Bala,Distancia_Bala2,Salto,Izquierda
330,-20,29,0,1
320,-20,11,0,1
290,-20,7,0,1
260,-20,25,0,1
230,-20,43,0,1
205,-20,81,1,1
180,-20,116,1,1
155,-20,149,1,1
130,-20,179,1,1
105,-20,531,1,0
80,-20,506,1,0
55,-20,483,1,0
30,-20,463,1,0
5,-20,445,1,0
20,-20,430,1,0
45,-20,417,1,0
1310,-20,407,0,0
1281,-24,399,0,1
1252,-24,394,0,1
1223,-24,391,0,1
1194,-24,391,0,1
1160,-24,389,0,0
1136,-24,371,0,0
1112,-24,353,0,0
1088,-24,335,0,0
1064,-24,317,0,0
1040,-24,299,0,0
1016,-24,281,0,0
992,-24,263,0,0
968,-24,245,0,0
944,-24,227,0,0
920,-24,209,0,0
896,-24,191,0,0
872,-24,173,0,0
848,-24,155,0,0
834,-24,137,0,1
820,-24,119,0,1
806,-24,101,0,1
792,-24,83,0,1
778,-24,65,0,1
764,-24,47,0,1
750,-24,29,0,1
736,-24,11,0,1
722,-24,7,0,1
708,-24,25,0,1
694,-24,43,0,1
680,-24,61,0,1
646,-24,79,0,1
612,-24,97,0,1
578,-24,115,0,1
544,-24,605,0,0
510,-24,587,0,0
476,-24,569,0,0
442,-24,551,0,0
408,-24,533,0,0
374,-24,515,0,0
340,-24,497,0,0
306,-24,479,0,0
272,-24,461,0,0
248,-24,443,0,0
224,-24,425,0,0
200,-24,407,0,0
176,-24,389,0,0
162,-24,371,0,1
148,-24,353,0,1
134,-24,335,0,1
120,-24,317,0,1
106,-24,299,0,1
92,-24,281,0,1
78,-24,263,0,1
64,-24,225,1,1
